Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","48","Costa Rica","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2303","Fc","Calculated data"
"FBS","Food Balances (2010-)","48","Costa Rica","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","34.56","Fc","Calculated data"
"FBS","Food Balances (2010-)","48","Costa Rica","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","57.68","Fc","Calculated data"
"FBS","Food Balances (2010-)","107","C?te d'Ivoire","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2729","Fc","Calculated data"
"FBS","Food Balances (2010-)","107","C?te d'Ivoire","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","44.95","Fc","Calculated data"
"FBS","Food Balances (2010-)","107","C?te d'Ivoire","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","43.17","Fc","Calculated data"
"FBS","Food Balances (2010-)","98","Croatia","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2174","Fc","Calculated data"
"FBS","Food Balances (2010-)","98","Croatia","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","36.38","Fc","Calculated data"
"FBS","Food Balances (2010-)","98","Croatia","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","47.01","Fc","Calculated data"
"FBS","Food Balances (2010-)","49","Cuba","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2847","Fc","Calculated data"
"FBS","Food Balances (2010-)","49","Cuba","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","48.38","Fc","Calculated data"
"FBS","Food Balances (2010-)","49","Cuba","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","35.53","Fc","Calculated data"
"FBS","Food Balances (2010-)","50","Cyprus","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2360","Fc","Calculated data"
"FBS","Food Balances (2010-)","50","Cyprus","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","45.99","Fc","Calculated data"
"FBS","Food Balances (2010-)","50","Cyprus","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","66.77","Fc","Calculated data"
"FBS","Food Balances (2010-)","167","Czechia","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2342","Fc","Calculated data"
"FBS","Food Balances (2010-)","167","Czechia","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","34.68","Fc","Calculated data"
"FBS","Food Balances (2010-)","167","Czechia","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","72.54","Fc","Calculated data"
"FBS","Food Balances (2010-)","116","Democratic People's Republic of Korea","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","1965","Fc","Calculated data"
"FBS","Food Balances (2010-)","116","Democratic People's Republic of Korea","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","44.81","Fc","Calculated data"
"FBS","Food Balances (2010-)","116","Democratic People's Republic of Korea","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","26.94","Fc","Calculated data"
"FBS","Food Balances (2010-)","250","Democratic Republic of the Congo","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","1884","Fc","Calculated data"
"FBS","Food Balances (2010-)","250","Democratic Republic of the Congo","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","22.7","Fc","Calculated data"
"FBS","Food Balances (2010-)","250","Democratic Republic of the Congo","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","23.66","Fc","Calculated data"
"FBS","Food Balances (2010-)","54","Denmark","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2177","Fc","Calculated data"
"FBS","Food Balances (2010-)","54","Denmark","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","38.67","Fc","Calculated data"
"FBS","Food Balances (2010-)","54","Denmark","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2019","2019","g/capita/day","40.87","Fc","Calculated data"
"FBS","Food Balances (2010-)","72","Djibouti","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2019","2019","kcal/capita/day","2593","Fc","Calculated data"
